topology,seed,dimensions,peaks,hv,gap,set_resolution,n_relevant_sets,n_points_nondominated,xmax,xmin,algorithm,algo_seed,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,nsga2,1,0.3958525966758274,0.44016250414425634,0.5074355181270399,0.5589587337217513,0.5863271592406845,0.6211724154017945,0.6354545420206509,0.6411681780167163,0.648590552788474,0.6541440740683234,0.6663494570478414,0.670128272481542,0.6719656797037954,0.6729295763540042,0.6732319626160362,0.6736048228750083,0.6749159485398594,0.675979438032993,0.6767289780747917,0.6778549261183472,0.6784427919068187,0.6791100410800477,0.6793387434296598,0.6794640467340997,0.6797339434406442,0.6805547865508171,0.6808517705390745,0.6811821413171705,0.6813804675551999,0.6814735640720299,0.6816737780693506,0.6818966797314874,0.6823390627664742,0.6827782842061754,0.6828384534315363,0.6828867220189454,0.6829665194810923,0.6830731923174347,0.6831439536064972,0.6831861692596194,0.6832959080047327,0.6833911426988044,0.6834452554144388,0.6835233468738727,0.6835511577462291,0.6836362052842299,0.6836859556049042,0.6837322732229577,0.6838193934899297,0.6838313661515584,0.6838444894924555,0.6838618380791136,0.6839610943355209,0.683995699371407,0.6840140593185348,0.6840346961052461,0.6840543239272519,0.6840687264398513,0.684207041061293,0.684222305840313,0.6842498374103928,0.6842913836694827,0.6842983593309974,0.6843488590822004,0.6843721065332337,0.6844007212376588,0.6844184595338372,0.6844374913591414,0.6844504701069014,0.6844579358935046,0.68466944169327,0.6846925741280344,0.6847028028963306,0.6847262023021732,0.6847441010043029,0.6847693599132669,0.6847719570827182,0.6847752689938781,0.6847835107833632,0.6848275542999676,0.6848374315730021,0.6848503063372103,0.6848614946608372,0.6848738124789521,0.6848749981787169,0.6848949631813244,0.6849067462892015,0.6849085282791071,0.6849160055899927,0.6849466169294481,0.6849527457959796,0.6849763814010019,0.6850048402092241,0.6850129155013034,0.6850177988986582,0.6850383216496935,0.685038730545788,0.685039308951344,0.6850404986071699,0.6850488328141953
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,omnioptimizer,1,0.3603037527342152,0.4819656075784751,0.5417755590270825,0.5536507044352341,0.5856232832728696,0.5946263954902066,0.6011189847275896,0.6295514397408696,0.6403713223668489,0.643958061638159,0.6478192081349557,0.6589382720712699,0.6612108758651571,0.665031899004926,0.6664716897277603,0.6684077473450944,0.6698186167857269,0.6721404538069021,0.6729591986594634,0.6740348740606507,0.6741411498170073,0.6743514220481789,0.6746263803384065,0.6748892470297839,0.6759163130151319,0.6761794177749502,0.6788069677475201,0.6791425730785251,0.6793149092765767,0.6795616888130284,0.6796828861313615,0.6798547511502686,0.6800168646876118,0.6803202306781646,0.6804095737567358,0.6804752409414151,0.6805373573314308,0.6805657511391484,0.6805970078325496,0.6806336234747467,0.6806923761229622,0.6811237151044053,0.6814940399444512,0.681591069787296,0.6816619119380444,0.681738896349982,0.6818959757814306,0.6819041381820579,0.6823643948304204,0.68243362937813,0.6825181496581456,0.6826049335337301,0.6827284924000157,0.6827862261707307,0.6827984127364606,0.6828417029718874,0.6829161624980693,0.6829764835037548,0.6829947994984216,0.6830163582351652,0.6830209287699418,0.683031523013486,0.6831906368331528,0.6832149306466899,0.6832595582037744,0.6832659417590072,0.6833185213961466,0.683471762127263,0.6834972778182442,0.6835104311560427,0.6835284495655205,0.683533857937515,0.6835605724702684,0.6835708533517877,0.6836551049888163,0.683682308268135,0.6837027318828639,0.6837127379433614,0.6837276961620652,0.6837487295824392,0.6837595919982641,0.6837693246564326,0.6837879484916706,0.6838028158254855,0.683809532071035,0.6838283536122199,0.6838423928313654,0.6838530240021772,0.683856848225554,0.6838671702510479,0.6838775499742618,0.6838840557991124,0.6839346797393272,0.6839618742501675,0.683970381224624,0.6839765186077617,0.6839867135197765,0.6840472338753516,0.684057738341401,0.6840694445405985
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,smsemoa,1,0.3958525966758274,0.44132229181472515,0.5109929469692612,0.5320942423501793,0.5625037138268331,0.5812620776988237,0.5876090684662766,0.5906643339554514,0.5951232100866034,0.5966090367491798,0.6132989006965961,0.6144231128558709,0.6156374131797058,0.6160640166067842,0.616253737654729,0.6166319660274745,0.6167448189685897,0.6171556005620947,0.6174894775422485,0.6177447751324022,0.6179974572590764,0.6181685249804677,0.6183787177816481,0.6184545920782782,0.619128307249179,0.6208462387692175,0.6209129275656154,0.6210270176499925,0.6210823483259056,0.6211317971585367,0.6211555908447496,0.6219023261409075,0.6219306546888693,0.6223584836773106,0.6224088460693812,0.6224655473540276,0.6225620125321395,0.6226860792094719,0.6229334792009229,0.6229496760177083,0.6233466334887322,0.6234458348137143,0.6234628525271894,0.6234725910687212,0.623495887017489,0.6235080999598437,0.6235502462090604,0.6235709771736082,0.6235905817553007,0.6236489235459173,0.6236924123381998,0.623764084011343,0.6237731636779232,0.6237869743196295,0.624108523292451,0.6247596399856824,0.6247721673307715,0.6247992375794539,0.6248183993189403,0.6248263877621977,0.6248341645422253,0.6248405652871208,0.6248443516801452,0.6248643375231667,0.6248680187423588,0.6248788909006032,0.6248866681077103,0.6248922158831912,0.624899472089196,0.6249042392971841,0.624931414431383,0.6249436560630826,0.6249522159458903,0.6249583662092673,0.6249827558386613,0.6249875324407685,0.6249939632624941,0.6249979017955751,0.6250118330613087,0.6250329239559614,0.6250359093291938,0.6250535556136778,0.6250595724695599,0.6250617439469586,0.6250645960946754,0.6250662352803628,0.6250694504121427,0.6251334797247394,0.6251373998120017,0.6251868828764817,0.6251886765853786,0.6251913479732691,0.6251965499697816,0.6252285802762774,0.6252351994553162,0.625243843069567,0.625245636235322,0.6252486224762936,0.6252527287384568,0.625262649692744
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,mole,1,0.34107039279795803,0.490546659106848,0.5477507661437288,0.5489515418736892,0.5491207720364957,0.5788685902135843,0.5890109142352642,0.5890109142352642,0.5890109142352642,0.613772812070698,0.6147995991822974,0.6148008014207951,0.658428175294208,0.6657140572733546,0.6657142706179305,0.6657142706179305,0.6657142706179308,0.6657142706179308,0.6658114329711967,0.6658114329711967,0.6664571470910738,0.6664571470910741,0.6664571470910738,0.6664571470910736,0.6679400582692936,0.6679400582692938,0.6679642892310067,0.6681742440830736,0.6682041392194193,0.6697204054329722,0.6702416139949168,0.6702416164161663,0.6702416164161661,0.6702416164161661,0.6702416164161661,0.6702416164161659,0.6703923700451268,0.6704362172767723,0.6704367766433496,0.6710562842494344,0.6748985978093472,0.6773770892023988,0.6782968510866386,0.6797408232567358,0.6804766805911547,0.6816265645180982,0.6820092123384921,0.6824677197453596,0.6828884872343025,0.683479164335033,0.6838182596671046,0.6839588324586167,0.6840694518577787,0.6842787165313792,0.6844846123605012,0.6846427008402386,0.6849293368382366,0.6850225329070873,0.6851400869985161,0.6852060124042635,0.685278821983348,0.6853289661076701,0.6853963474422115,0.6854475212743351,0.6855266675635795,0.6856874899312951,0.6857087749843661,0.6857319403814296,0.6857895261175896,0.6858328931810013,0.6858835359294898,0.6859502007498234,0.6859985451107663,0.686061550398669,0.6860927448754864,0.6861049917154655,0.6861385504584722,0.6861594652596444,0.6861890525858015,0.6861972286745187,0.6861972841708928,0.68619738089579,0.6861973808957895,0.6861973808957893,0.6861973808957895,0.6861973808957897,0.6861973808957897,0.68619738089579,0.6861973808957897,0.6861974222929225,0.6861974222929224,0.6861974222929222,0.6861974222929228,0.6861975257056774,0.6861975257056772,0.6861975954502325,0.686197595450235,0.6861975954502352,0.686197595450235,0.6861976677095696
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,random,1,0.43250055147282934,0.49550912885077997,0.5068727940964991,0.5240980689405653,0.5327423618286535,0.5447895946586971,0.5777725463886122,0.5896299237497806,0.5916542690611902,0.5916542690611903,0.5916542690611897,0.5916542690611891,0.5935447872810723,0.6030071615562094,0.6039010358151179,0.6039010358151179,0.6039010358151174,0.6165855254236455,0.6185322610901165,0.6185322610901155,0.6227557881315906,0.6277538562338223,0.6278646344273375,0.6278646344273375,0.6278646344273376,0.6394935574003568,0.6394935574003562,0.6394935574003561,0.641740607908746,0.6421570693820384,0.6421570693820382,0.6421570693820391,0.642157069382039,0.6421570693820388,0.6424436496527872,0.6428144395128194,0.642814439512819,0.6462206143841993,0.6462206143841999,0.650908735876507,0.650908735876507,0.6510589179135968,0.6527796562172153,0.653581292810002,0.65389661447737,0.6546102370838887,0.6546102370838891,0.6546102370838888,0.6546147718701022,0.6551757852296686,0.657408527588349,0.6574085275883482,0.6574390134862624,0.6577182826282392,0.6603310845355694,0.6603310845355692,0.6603310845355689,0.6603310845355687,0.6603310845355694,0.6605740614943081,0.6637019191229916,0.6637019191229908,0.6637019191229904,0.6637019191229898,0.6637019191229904,0.6637019191229901,0.6637019191229898,0.6637019191229899,0.6637019191229899,0.6637019191229899,0.6637019191229897,0.6637019191229897,0.6637019191229888,0.6639051226089446,0.663905122608945,0.6678478834326642,0.6678478834326647,0.667847883432666,0.6678478834326662,0.6678478834326665,0.6678478834326663,0.6678478834326663,0.667847883432666,0.667847883432666,0.6678478834326654,0.6678478834326668,0.6678478834326673,0.6680137370856611,0.6680859493948607,0.6686505347075886,0.6686505347075884,0.6686505347075887,0.6686505347075883,0.6686505347075882,0.6686505347075876,0.668650534707588,0.6686505347075875,0.668748416993159,0.6687484169931583,0.6687484169931588
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,nsga2,2,0.3714806760507693,0.45476940319582854,0.5128888997164411,0.5433451631580188,0.5847443758932714,0.6080376159399306,0.6127570070954813,0.6429259571029448,0.6495762627415923,0.6574529267026277,0.661872646755921,0.6634174188221801,0.6653048572575578,0.6680438440801998,0.6696960750853387,0.6708168118963648,0.6728747796138091,0.6739865245677344,0.6754415883955326,0.6758345881443025,0.6762105511175335,0.6770804583967027,0.6771658649754246,0.6782926017796896,0.6786581467504335,0.6790622919855311,0.6796013876216723,0.6797779215458515,0.6799704455765212,0.6803489962743873,0.6804928668149474,0.680541004573753,0.6806258417955002,0.680784378613708,0.6810279594496159,0.6810852637049696,0.68117557334133,0.6812505831305121,0.6813123207364127,0.6813523985246285,0.6814112570781268,0.681876524678943,0.6819035999931027,0.6819319938679242,0.681991316495452,0.6824903622018212,0.6825430820637227,0.6828668389889399,0.6828963652141647,0.6830207382167585,0.6831051707829975,0.6831525419396461,0.683171458657836,0.6832050205819856,0.6832277520820914,0.6832922066401155,0.6833035932872511,0.6833423954126928,0.6833752000284994,0.6834366184541322,0.6834576803712916,0.6834838353906858,0.6835179761718748,0.6835348576032875,0.6835766260561652,0.6835952576937552,0.6836889282239408,0.6837001139688818,0.6837252209130488,0.6837338604482086,0.6837476293952911,0.6837560864997969,0.6837801951735182,0.6837816422247531,0.6837938486942022,0.6839051192126496,0.68392600421763206,0.6839504301312067,0.6839518775947521,0.68396059296471,0.6839836386203921,0.6839930395832711,0.6840084657795309,0.6840953693662878,0.6841191455136605,0.6841370383131405,0.6841564559118408,0.6842071614408245,0.6842119387280116,0.6842728720377161,0.6842847964060962,0.6843013282391408,0.6843096287019778,0.6843306785310812,0.6843352966376639,0.6843442736755887,0.6843562532831761,0.684365476390121,0.6843700760665344,0.6843797098069234
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,omnioptimizer,2,0.33315191802404787,0.5056717321820431,0.5300294341459734,0.5533795857967165,0.5783137896822358,0.5850350452514355,0.590748184413603,0.6026112002620625,0.6069420713269938,0.6079545644031771,0.6105854806379489,0.6112215964939354,0.6129868904043962,0.6193720064106817,0.6203130889299258,0.6205777956940541,0.6213186042633416,0.6220458570789851,0.6228096090859798,0.6229309447568916,0.6231714126209505,0.6232863146878158,0.6233420237391437,0.6234428433357683,0.6235277217216034,0.6238372343149071,0.6239175178021202,0.6239624632583195,0.6240173668753135,0.6240833490411475,0.6241163900103597,0.6242203970078017,0.6242947826714493,0.6243837288146485,0.6244090148839974,0.6244335008585529,0.6244690753115733,0.6244992278215686,0.6245143132629861,0.6245365817806897,0.6245600415090751,0.624595211029128,0.6246512526567679,0.624658340500121,0.6246708332544753,0.6246874684282615,0.6247007115498404,0.6247170210384786,0.6247248700842488,0.6247529752759403,0.6247631776971488,0.6247765458630162,0.6247927265223644,0.6248000565046464,0.6248151292085125,0.6248273407628899,0.6248433190740245,0.6248688610745502,0.6248799100466221,0.6248882324690265,0.6248940091639623,0.6249000593808282,0.6249204603912163,0.6249340314985502,0.6249486178087179,0.6249604311802539,0.6249675127472784,0.6249769546589886,0.6249813525222397,0.6249875969840945,0.624995804296867,0.6250185411927788,0.6250289779905697,0.6250359178054625,0.6250391908936634,0.6250477655603015,0.6250536751529213,0.6250620963811719,0.6250665145634355,0.6250794321416087,0.6250815119235122,0.6250831890499304,0.6250962890365153,0.6251000914742639,0.6251062325122487,0.6251147278351352,0.6251185158060222,0.6251242140204956,0.6251340562561658,0.6251403723271673,0.6251490849914723,0.6251558487676327,0.6251576585412608,0.6251618271609478,0.6251653702273088,0.6251692457391194,0.6251747356256816,0.6251825360652714,0.62518331008774,0.6251851909522563
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,smsemoa,2,0.3714806760507693,0.41541650756820575,0.4721848027693869,0.5120469520478329,0.5424426394021037,0.5504259403296905,0.5692032411832236,0.5760439326416488,0.5872370294623607,0.5890870671260952,0.5898229322476173,0.5947223382506367,0.6016394979441922,0.6032517239968553,0.6068763666597083,0.6097054419239509,0.6101268283186019,0.6110635114871326,0.6114116921882481,0.6121038551607167,0.6129136770152241,0.6130817578395643,0.614256251564199,0.6156048760593388,0.6163303368798912,0.6165376067750892,0.62478667360763,0.6249936730252543,0.6253244389104251,0.626638763212992,0.6278906278705197,0.6285837254357701,0.628642338300102,0.6288741311369909,0.6289007240506875,0.6299357796173867,0.6314656227603781,0.6316654244991529,0.6318351330609211,0.6320034222652186,0.632392570321845,0.6324408133276408,0.6336154751349636,0.6338975804130695,0.6344174162886594,0.6346101237690474,0.6348879680753414,0.6349156817317158,0.6349764312124822,0.6351048888987367,0.635186108477267,0.6352063092687683,0.6352488881479544,0.636117847683266,0.6361420159226566,0.636216378861224,0.6364589755325483,0.6368307228664101,0.6378271124467962,0.6378849176453024,0.6379496874193376,0.6380238521747292,0.6380623961546031,0.6381632256601013,0.6381712971681516,0.6381784620591332,0.638281752393454,0.6383112352609742,0.6383319955076047,0.6383526455612102,0.6384124191713383,0.6384181390951997,0.6384383659063884,0.6384657126305362,0.6384848515591365,0.6384914990273932,0.6384995822478109,0.638714928178725,0.6387308916239838,0.6387782406040133,0.6387837863378993,0.6387935116624816,0.6388060107160675,0.6388196840237094,0.6388314937476448,0.6388374988832245,0.6388535298196392,0.6388726701747588,0.6389363727061514,0.638952332298542,0.638956873769668,0.6389726976060992,0.6389767061479121,0.6389796860968173,0.6389815957260455,0.6389937964460022,0.6390102274280183,0.6390271483703307,0.6390422953767889,0.6390492157958816
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,mole,2,0.33244342685196526,0.3520249297929232,0.4995789192755441,0.5118524795670482,0.5131526305034827,0.5571966032492521,0.5606549933306335,0.560671258474828,0.560671258474828,0.560671258474828,0.560671258474828,0.560671258474828,0.560671258474828,0.560671258474828,0.6391337669112027,0.6443658593734636,0.6443658861425374,0.6443658861425374,0.6454526254315689,0.6517221926296137,0.6524825875098874,0.6527908065474358,0.6536602600762532,0.656299439506316,0.6563339090520519,0.656333909052052,0.656333909052052,0.656333909052052,0.6563339090520518,0.6563339090520518,0.6563361833219917,0.6563361833219917,0.6563361833219917,0.6563361833219918,0.6678144236334982,0.6734359606050353,0.6758379496492881,0.67800173636414,0.6793530567900521,0.6807440827845648,0.6813651528382085,0.6819658436093172,0.682342265404387,0.682727994576413,0.6834257900613091,0.6837975080054589,0.683980175714452,0.6841496644372813,0.6843029869499636,0.684443207888391,0.6847725804907727,0.6849504928591643,0.685086680245589,0.6851907271304496,0.6852403617560222,0.6852990496482189,0.6853812209568678,0.6854486063200191,0.6854995098519439,0.685676101424445,0.6857117114458771,0.685758545767432,0.6858044500996651,0.6858431559378345,0.6859134958353752,0.6859439820176751,0.6859901402759239,0.6860527616487421,0.686088931511544,0.686106192762795,0.6861237320568674,0.6861453271051706,0.6861687857239421,0.6861938695400773,0.6861938695400773,0.6861938695400771,0.6861941853193492,0.6861941853193494,0.6861941853193493,0.6861941853193494,0.6861941853193493,0.6861941853193491,0.686194185319349,0.686194185319349,0.6861943219137077,0.6861943219137077,0.6861943219137074,0.6861943219137074,0.6861944786453678,0.686194553867379,0.6861945538673794,0.6861945538673792,0.686194553867379,0.6861945538673785,0.6861947582505729,0.6861947582505733,0.6861947582505733,0.6861947582505734,0.686194758250574,0.6861949900293501
random,8,2,4,0.6864718608794488,4.717164665701823e-5,16384,3,15341,0.9804830113075644,0.01139880427742989,random,2,0.43579201458021527,0.48138089305416776,0.5310538073427292,0.5517556270440758,0.5576896793606325,0.5577764818446164,0.5577764818446167,0.5584851825102429,0.5584851825102422,0.5625933691399884,0.5652816629165599,0.5881929693866078,0.590696603832058,0.592284306291234,0.6044514159301467,0.6132463539352848,0.6132463539352854,0.6190525469074926,0.6227425724506396,0.6260468517894149,0.6370404649124233,0.6370404649124234,0.6409616418134998,0.6418123684372394,0.6508695487131788,0.6517735095880355,0.652652388079852,0.6527095068540053,0.6527095068540057,0.6536157939765624,0.6537732427305198,0.653887174890363,0.6539477372825463,0.6562635091299484,0.6565312660648178,0.6567250148108361,0.6567250148108368,0.6567250148108371,0.658276247599338,0.6582762475993386,0.6582762475993386,0.6582762475993386,0.6590383281542196,0.659057205903881,0.6615149253556761,0.6615149253556768,0.6616371631358998,0.6616371631358998,0.6616371631358996,0.6616371631358995,0.6616371631358994,0.6616371631358993,0.6616371631358989,0.6616371631358988,0.6616371631358985,0.6624303530247585,0.6624303530247592,0.6624303530247596,0.6624303530247595,0.6638629552390256,0.6638629552390254,0.6638985371250585,0.6638985371250578,0.6638985371250579,0.6646046603859843,0.6656881134947639,0.6656881134947646,0.6656881134947644,0.6656881134947655,0.6656881134947651,0.6656881134947649,0.6656881134947656,0.6656881134947652,0.6656881134947649,0.6658480720758967,0.6659116105157955,0.666014564140819,0.6660145641408186,0.6662019419337869,0.6662019419337877,0.6663217522991849,0.6663217522991837,0.6663217522991833,0.6663217522991831,0.6663217522991838,0.6663217522991841,0.666430796127018,0.6664307961270185,0.6664307961270186,0.6664307961270174,0.6664307961270179,0.6664889554779931,0.6667296015894331,0.6667296015894333,0.6667830953327396,0.6667830953327387,0.6667830953327382,0.6667830953327384,0.6667830953327383,0.6669967948711395
