topology,seed,dimensions,peaks,hv,gap,set_resolution,n_relevant_sets,n_points_nondominated,xmax,xmin,algorithm,algo_seed,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,nsga2,1,0.4777183632435333,0.5454678496067936,0.6557012386478548,0.7238961052010494,0.7327560922374114,0.7358377693280233,0.7677872224284412,0.7719071006087039,0.7736305923403184,0.7770524175771736,0.8230928454092302,0.8236864362230953,0.8249320948509713,0.8437288977064723,0.8661931834643206,0.8708476382088908,0.8741203718532786,0.8782504056856606,0.9012022068656456,0.910751113492628,0.9169632143938604,0.9212390857896811,0.924243944472981,0.9245644397449755,0.9251634454922412,0.9253136499009068,0.9259494657915539,0.9268441095619385,0.9274530421457012,0.9277114612134645,0.9279341818981992,0.9282061587324437,0.9284077518689537,0.9313304764855964,0.9314851732547631,0.9315482405745553,0.9315813218303425,0.9336748795477126,0.933749925078481,0.9338117591257658,0.9338920471630094,0.9339132211138272,0.9339188806490921,0.933948136752179,0.9340546411738918,0.9340666864970263,0.9340795820808271,0.9347493838913863,0.9363455504012212,0.9363834469563392,0.9364002335244508,0.9364045864220101,0.9364204365444354,0.9364443046035114,0.9364617586983763,0.9364692644869667,0.9364817309848097,0.9375620864531118,0.9375681289128684,0.9375750472487548,0.9375782553134162,0.937588011886989,0.9375933656343023,0.9376439447183442,0.9376600354742476,0.9376642403314689,0.937672197855946,0.9376775053520715,0.9376816741072973,0.9378588706086087,0.937866198584614,0.937874267717933,0.9379483375423991,0.9379508320954293,0.9379715340867101,0.9379760950425364,0.9379833657784593,0.9379909707690692,0.9380025016850313,0.9380101527239524,0.9380341013500431,0.9381576672150083,0.9382929256444691,0.9383000369512317,0.9383076467631772,0.9387702411496636,0.9394017485392213,0.9394050953180936,0.939416443001489,0.9394209334636053,0.9394215429415129,0.9394258006964581,0.9394287371085737,0.9394349277327131,0.9394369909514111,0.939443436847464,0.9394554729774864,0.9394557746569094,0.9394655705756962,0.939470129384749
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,omnioptimizer,1,0.46984612633717204,0.49923765425431316,0.5572796981337119,0.5835821221898345,0.5952997701612168,0.6689581039900823,0.68421807244964,0.7237615829205098,0.748382397697406,0.8298184600592794,0.8386862195361743,0.8448197160693492,0.8652141889527317,0.8711406136413362,0.8745146667073724,0.9015665966960743,0.9087585022510792,0.9141603198875489,0.9149624741418682,0.9178479265647987,0.9227336656535672,0.9242329753630057,0.9275496411845227,0.9305333011072358,0.930848198844767,0.9314340157221179,0.9321935557322361,0.9327176523190923,0.9348387190033116,0.9353656068988802,0.9355295310956134,0.935822196557011,0.9361333575505356,0.936406004459696,0.9364614903318841,0.9365605363303144,0.9365925530624061,0.9366452852771807,0.9368131581613044,0.9369943443252322,0.9371110557890056,0.9371388666992412,0.9372558221800671,0.9372654606048352,0.9372936438948367,0.9373734833230225,0.9373898105094163,0.9374153820869922,0.9374597654466716,0.9374844989127156,0.9374929452933691,0.9375821607152357,0.9375877076956606,0.9376276318815322,0.9376475781892988,0.9376795492017136,0.9376872295601234,0.9376959627220481,0.9377440601309682,0.9377729903666602,0.9378157683980061,0.9378403094742133,0.9378484016541754,0.9378575655563024,0.9378588189643383,0.9378727333127654,0.9378740066336742,0.9378880778640454,0.9379146282075097,0.9379320886657682,0.9379389327398228,0.9379453031003276,0.9379585550123722,0.9379691590055029,0.937975951675298,0.9381701374425113,0.9381746849143955,0.9381804310875578,0.9381864983471572,0.9381931017391848,0.9381933559367008,0.9381996201777321,0.9382143211678247,0.938220577935844,0.9382273224740353,0.9382363386427895,0.9382442575503656,0.9382452953739249,0.9382460328466855,0.938252140331534,0.9382556224917868,0.9389653084508607,0.9389685123769693,0.9389733428894915,0.9389740545177059,0.9389751070934222,0.9389787670065088,0.9389904185960599,0.9389918192669758,0.9390036346546676
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,smsemoa,1,0.4777183632435333,0.6006334740997283,0.6438172670894771,0.679112888002638,0.6983329396490228,0.712306589282139,0.7308798564820957,0.739078230285141,0.747961171658242,0.7542686471345187,0.7584103487393875,0.7590059014031975,0.7590273224894485,0.7596749699789634,0.7619143375837943,0.7622045748654688,0.7629177405799658,0.7666596270409853,0.7667288199561558,0.7689117893423649,0.769001895504248,0.769492125418454,0.77023419876709,0.7706410983935238,0.7720177437610001,0.772314831195674,0.7726560294360393,0.7728389949038951,0.7731638750240198,0.7773542149754928,0.7774466791376484,0.7779337706643557,0.7779924356182073,0.778074068607098,0.7780923091751767,0.7782623487873076,0.7782867432336598,0.7784035796973194,0.778418894685879,0.7784544939242956,0.778703649299903,0.7787416813037773,0.7794576837007704,0.779797191462605,0.7798473743968559,0.7798930094822456,0.7799360602123058,0.7800512138193987,0.7801100499956786,0.7801411303577444,0.7801526554067657,0.7801648799289369,0.7802294881214831,0.7802517311177886,0.7802713186150814,0.780287470355487,0.7803312557400526,0.7886250634620443,0.7903128077937839,0.7909595809841098,0.791036282119912,0.7911913183150141,0.7912028170206008,0.7912142892362637,0.7912622664581034,0.7912967287063652,0.7948323515533589,0.794838421194396,0.7949115207123123,0.7949160863224928,0.7950141746846884,0.7950222858097032,0.7950359292244669,0.7950781114705429,0.795108614437069,0.7951315855978629,0.7954120866974228,0.7954164108674165,0.7962053570437624,0.7962196752095319,0.7962218843251856,0.7962320752772345,0.7962473359044338,0.796313362556855,0.7963223545983749,0.7963781567040833,0.7963866145012779,0.7964044361910585,0.7964549162528576,0.7964677782748306,0.7964791208202164,0.7965179070280701,0.796540131728402,0.796541555363308,0.7965492164392596,0.7966242229926814,0.7966252815591874,0.7966607926812912,0.7966860303940542,0.7967252778770261
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,mole,1,0.44579913444740127,0.446294238670619,0.4489860371190818,0.5327333135822663,0.5397533964008132,0.5399277520496413,0.5399279599227004,0.5399279605202963,0.540228003263527,0.5456050267224257,0.5583936135524249,0.5718471853782283,0.5732238083032216,0.5733282124604316,0.6475935081132728,0.7671756941472326,0.7744505476958359,0.7744585858018853,0.7745596864072798,0.775924476772016,0.7759749173745316,0.7852811341635358,0.7852811341635357,0.7852811341635364,0.7853946022491894,0.7891806780711268,0.7892206132436309,0.789220613243631,0.7892206132436309,0.7892206132436309,0.7892206132436307,0.7892206132436308,0.789220613243631,0.7892206132436309,0.7892206132436311,0.7892206132436309,0.789220613243631,0.7892206132436308,0.7892206132436308,0.7892206132436308,0.7892206132436309,0.7892206132436308,0.7892206132436306,0.7892206132436306,0.7892206132436306,0.7892206132436307,0.7892206132436308,0.7892206132436307,0.7892206132436307,0.7892206132436307,0.7892206132436307,0.7892206132436306,0.7892206132436307,0.7892206132436307,0.7892206132436307,0.8010803394386274,0.80564240971067,0.8178937841712409,0.8408638048355338,0.8455083038304786,0.8457559428698644,0.8457559428707214,0.8457559428707212,0.8457559428707212,0.8457559428707209,0.8457559428707205,0.8457559428707209,0.8457559428707212,0.8457559428707213,0.8457559428707211,0.8457559428707212,0.8457559428707212,0.8457559428707211,0.8457559428707212,0.845755942870721,0.8457559428707211,0.8457559428707211,0.8457559428707218,0.8457559428707219,0.845755942870722,0.8457559428707214,0.8457559428707222,0.8457559428707221,0.8457559428707214,0.845755942870721,0.8457559428707209,0.845755942870721,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707211,0.8457559428707214,0.845755942870722,0.8457559428707223,0.8457559428707223
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,random,1,0.4309461972966865,0.535606154978695,0.5493552484846272,0.6258045048467965,0.625804504846797,0.6258045048467973,0.632509320467561,0.6663454000473898,0.6677565964101542,0.6972586187319297,0.7222900297875198,0.7222900297875202,0.7234519271927858,0.7374711296937361,0.7374711296937363,0.7374711296937356,0.7374711296937351,0.7374711296937351,0.7374711296937357,0.7374711296937361,0.7374711296937358,0.7374711296937356,0.7640086548690643,0.7640086548690632,0.7643852530102763,0.7643852530102764,0.7643852530102753,0.7643852530102756,0.7643852530102752,0.7643852530102752,0.7643852530102754,0.7643908150622225,0.7643908150622227,0.7643908150622245,0.7643908150622245,0.7643908150622254,0.7643908150622254,0.7663569741433217,0.766356974143322,0.7663569741433225,0.7663569741433218,0.7663569741433217,0.7663569741433216,0.7663569741433217,0.7663569741433215,0.7663569741433218,0.766356974143322,0.7663569741433223,0.7663569741433225,0.7687225227391135,0.768722522739113,0.7687225227391139,0.7687225227391142,0.7687225227391148,0.7687225227391139,0.7687225227391146,0.7687225227391145,0.7687225227391145,0.7687225227391148,0.7687225227391138,0.8079417087322867,0.8079417087322868,0.8079417087322872,0.8079417087322878,0.8079417087322875,0.807941708732288,0.807941708732288,0.8079417087322887,0.8079417087322893,0.8079417087322892,0.8079417087322894,0.8079417087322889,0.8084498977504454,0.8084498977504456,0.8084498977504451,0.8103001793558644,0.8103001793558651,0.8103001793558657,0.8103001793558658,0.8103001793558666,0.8103001793558655,0.8103001793558656,0.810300179355865,0.8103001793558647,0.8159807164665241,0.8159807164665243,0.815980716466524,0.8159807164665236,0.8159807164665238,0.8159807164665235,0.8159807164665238,0.8159807164665235,0.8159807164665228,0.8159807164665233,0.8159807164665218,0.8159807164665219,0.8159807164665215,0.8159807164665211,0.8159807164665209,0.815980716466521
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,nsga2,2,0.4039898949403486,0.5656345308244993,0.6308979550034459,0.6449496188498369,0.6696872767442906,0.6906401605390884,0.7231405444608661,0.7288021290931567,0.7455233738905389,0.7485249631742076,0.7773861162116392,0.7777184017758383,0.7941993525948977,0.7941993601742506,0.8016570589548178,0.803100619208544,0.8041856642039845,0.806808641828371,0.8078760396907039,0.8084651719985521,0.8084998485921191,0.809068510587469,0.809467677820768,0.8097598954701051,0.8100231976340249,0.8110060005574564,0.811428608495215,0.8117574227065663,0.8117656830563008,0.8143384902458665,0.814857166795459,0.8169702615837542,0.8169909362549935,0.8174567592395517,0.8181650122609248,0.8196366995232979,0.8197479961917911,0.8219844274358163,0.8231086341265801,0.8232952474470282,0.8233345241256613,0.8238422196831242,0.825059084454984,0.8253669862548815,0.8258079678859169,0.8266288566550984,0.8267535004305181,0.8268312532135192,0.8270300215662453,0.827116077278609,0.8272002158423682,0.8272511532400031,0.8274498250084537,0.827483177936594,0.8275296348734956,0.8275776653400204,0.8276124327856406,0.8277341116848692,0.8277688742809721,0.8277832135933186,0.8278309464190373,0.827887304645335,0.8288974679554512,0.8289221897235134,0.8289735180091707,0.829026871692173,0.8290776118512176,0.8290957165971856,0.8291219320735032,0.8291401607923131,0.8291601009828203,0.8291703144524699,0.8291827982820691,0.8297280991647198,0.8297301191592533,0.8297397323848816,0.8297502259103766,0.829755846192703,0.829766038304884,0.8297694538386032,0.8297728312660843,0.8297921290817004,0.8298001139321228,0.8298119964403704,0.8298172495213295,0.829823721560873,0.8298413674351197,0.8298467210321683,0.8298662626577294,0.8298753771420965,0.8298782280329832,0.8298824370406496,0.8299036681085213,0.8299287973657309,0.8299318203101845,0.8299347320088974,0.8299405731079763,0.8299459817332082,0.8299501483865314,0.8299516005118371
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,omnioptimizer,2,0.4719895597069832,0.49390787929501506,0.5236165612694591,0.5366934838862274,0.5854549889962186,0.6428336299804064,0.6904873511910404,0.742368728433021,0.7746771376571921,0.7746939068248145,0.8148568636987652,0.8372024846687357,0.847995611164332,0.8538785781676174,0.8547251988307889,0.8717358624252393,0.8779416236769098,0.899899860633355,0.9141775598742026,0.9157839990464947,0.9164933770119706,0.9188459566729675,0.9199966774222896,0.9202986439189402,0.9253104481173325,0.9257716334323843,0.9268600529909551,0.9295995901430502,0.9299342740518544,0.9300457614973527,0.9302240736074464,0.9303128045103825,0.930628911228459,0.9306745353929069,0.9311850400604047,0.9312494053889755,0.9312969227345158,0.9313990720544076,0.9314754743093794,0.9353437784816767,0.9353887759632104,0.935461308820883,0.9354805723518753,0.9354961955273751,0.9355170958780987,0.9355369667965734,0.935557220672268,0.9355711956417943,0.9356391283021577,0.9356471645035218,0.9356574797180577,0.9361037081522753,0.9361096534790933,0.9361165590133352,0.9361615479524238,0.9361667554246224,0.9361779168894914,0.9362350201895062,0.9362457880415492,0.9362709665258268,0.9372343203538326,0.9372485743590391,0.9372552029512604,0.937275346472128,0.9374799819394515,0.9374953698403647,0.9375006963132585,0.9375196030348288,0.9375236691107658,0.9375300398536649,0.9378715568224818,0.9378746274528724,0.9378868770744838,0.9378879813267887,0.9379030314692205,0.9379110893077001,0.937916856076577,0.9379233344828881,0.9379277997497775,0.9379351830018042,0.9379366554867075,0.9379413662197067,0.9379467623126364,0.9379475169833176,0.9379506638605495,0.9379565135736391,0.937958467205485,0.9379623599485996,0.9379670710152387,0.9379691978549648,0.9379814760101542,0.9379859691515173,0.9379929105845929,0.937996905567783,0.9379990682289087,0.9380095553469476,0.9380130253141046,0.9383636158798677,0.9383655684239329,0.9383669635496698
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,smsemoa,2,0.4039898949403486,0.45250928693890546,0.5093854526636143,0.5793984919717706,0.6189043345867277,0.6818915587408265,0.7158552379972354,0.722058988683194,0.724059177096316,0.7295174707892853,0.7365546632934905,0.7457569049396015,0.7503475351414024,0.7641998808330115,0.7684220792746543,0.7690628153613173,0.7707736194923449,0.7720345951639148,0.7731228055701723,0.7731575511137675,0.7733421938639945,0.773402527148963,0.7734103492172048,0.7734551366617307,0.7737418194469542,0.7738940390865024,0.776484307027343,0.7765884488585314,0.776650338465083,0.7767752567835665,0.7768279390524093,0.7768344426883592,0.7768939716246488,0.7769465427315096,0.7771168617194133,0.7771234579830936,0.777267113254954,0.7772888861708694,0.7777539251443524,0.7783041575075813,0.7798656382773619,0.7799694981476104,0.7799858479449594,0.7801312188364793,0.7801761743232805,0.7801996772464567,0.7802368753133039,0.780255887203988,0.7802878485132719,0.7803040143576297,0.7803174579860421,0.7803459846825843,0.7803618565842746,0.780373638167302,0.7804720298177608,0.780482200533069,0.7804869187266434,0.7804955428645637,0.7805023830009467,0.7805385595480616,0.7805459459229289,0.7818143131728787,0.7818364505402503,0.7818484025077314,0.781928637105613,0.7819484663939934,0.781962618445971,0.782474856789244,0.782482312455909,0.7825749106860497,0.7825855137176967,0.782735712225408,0.7828299435793216,0.7846903101737994,0.7847020070919629,0.7847510534751843,0.7849045962980927,0.7852183923111076,0.7852329915109941,0.7853172408479315,0.7863841691729615,0.7884626274325018,0.7884692932296333,0.788486691665485,0.788543521638302,0.788560620002849,0.7886530616358739,0.7887831384095444,0.7888089764139817,0.7888800335806686,0.7889640160234271,0.7889725299753504,0.7890247139759051,0.7890832608967967,0.7890924223801344,0.7891003547653992,0.7891198725582612,0.7891239828721107,0.7891351382614215,0.7891503258244477
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,mole,2,0.29142953375859115,0.2918414625782005,0.2998472724372695,0.32931859848352407,0.36595357048027305,0.401729229654537,0.40172965543883055,0.40172965546972306,0.40176943369335116,0.4017706539408615,0.40920669697472883,0.4628879930843567,0.5353311053137575,0.5356074169894479,0.5356074169894479,0.5356074169894478,0.5356074169894479,0.535607416989448,0.5356074169894478,0.5356074169894479,0.5356074169894481,0.5356074169894482,0.5356074169894482,0.5356074169894482,0.5356074169894482,0.5360104189553374,0.5582057184188284,0.5582062635644017,0.5582062854249142,0.5613240421899709,0.5613240421899709,0.5613385300787112,0.5614120148121285,0.5617262625776224,0.5617262626836987,0.5617262626836989,0.5617262626836985,0.5617262626836986,0.5617262626836987,0.5617262626836987,0.561726262683699,0.5626356967145466,0.5654661114846149,0.5654909708324195,0.5654909708324196,0.5654909708324196,0.5654909708324197,0.56549097083242,0.5654909708324201,0.5654909708324202,0.5654909708324202,0.6359323008016253,0.6359323008016253,0.6359323008016253,0.6359323008016253,0.6359323008016253,0.6461159797618439,0.6475426223952041,0.6508202768575229,0.6581887645742601,0.757057883136691,0.757057883136691,0.7570578831366908,0.757057883136691,0.757057883136691,0.7578858488494522,0.758594675223955,0.7594607709693588,0.7610759354232277,0.7610870494711615,0.7612052976878285,0.7645180437940853,0.7658047774165613,0.7658093923325562,0.7658569226778642,0.7699132613307695,0.7724802900419403,0.7724807302412251,0.7724807302412249,0.7724807302412251,0.7724807302412251,0.7724807302412251,0.7724807302412251,0.7752501772722791,0.7865294177040678,0.7867096391924717,0.7867101418692126,0.7867101418732656,0.7867101418732654,0.7867101418732654,0.7867101418732656,0.786710141873266,0.7867101418732665,0.7867101418732667,0.7867101418732667,0.7867101418732667,0.7867101418732669,0.7867101418732672,0.7867101418732669,0.7867101418732669
random,14,3,64,0.9522322942072646,1.516939346668522e-4,4096,3,2310,0.953401925351112,0.2317994248786041,random,2,0.3944621331208938,0.5142286925710429,0.5475323692374422,0.5585893347102925,0.57807830431327,0.6786754820642592,0.7943429418603138,0.7943429418603142,0.7943429418603146,0.7943429418603142,0.794342941860314,0.7943429418603147,0.7943429418603147,0.8018424124233446,0.8018424124233439,0.8018424124233435,0.8018424124233433,0.801842412423344,0.8018424124233441,0.8018424124233435,0.8018424124233433,0.8018424124233432,0.8018424124233435,0.8018424124233422,0.8018424124233431,0.801842412423342,0.8018424124233421,0.8018424124233416,0.8018424124233422,0.8018424124233421,0.8018653271331982,0.8018653271331984,0.8018653271331984,0.8018653271331977,0.8018653271331978,0.8018653271331989,0.8018653271331979,0.8018653271331982,0.801865327133198,0.8018653271331981,0.8018653271331982,0.8125638004129396,0.8125638004129393,0.8125638004129392,0.8125638004129385,0.8125638004129385,0.8125638004129389,0.8125638004129387,0.8125638004129392,0.8125638004129399,0.8125638004129401,0.8125638004129396,0.8125638004129392,0.814528452197276,0.814528452197277,0.8203486915993277,0.8203486915993277,0.8203486915993271,0.8203486915993274,0.8203486915993282,0.8203486915993273,0.8203486915993274,0.8203486915993274,0.8203486915993277,0.8203486915993282,0.820348691599328,0.8203486915993278,0.8203486915993271,0.8203486915993269,0.8203486915993267,0.8203486915993268,0.8203486915993264,0.8203486915993268,0.8203486915993267,0.8203486915993268,0.8203486915993272,0.8203486915993273,0.8203486915993278,0.8203486915993282,0.8203486915993271,0.8203486915993282,0.8203486915993283,0.8203748207109908,0.8203748207109899,0.8203748207109892,0.820374820710989,0.8203748207109893,0.820374820710989,0.8203748207109898,0.8343544581894073,0.8343544581894073,0.8343544581894077,0.8343544581894079,0.8343544581894073,0.8343544581894069,0.8343544581894071,0.834354458189406,0.8343544581894057,0.834354458189406,0.8343544581894056
